ICAO,TIPO,NOME,MUNICIPIO,UF,LATD,LONGT,DIST,APROXIMCAO,SUPERFICIE,COMPRIMENTO,LARGURA,ORIENTACAO
SDBJ,Privado,Boa Vista,Patrocínio,MG,-18.75722222222222,-46.97,6.032048384756989,VFR Diurna,Terra,1000,18,80.0
SNGQ,Privado,Bom Despacho,Bom Despacho,MG,-19.688055555555557,-45.26972222222222,7.548644357485822,VFR Diurna,Asfalto,1000,18,20.0
SIAQ,Privado,Bom Futuro,Cuiabá,MT,-15.506388888888889,-56.098333333333336,7.74509229814533,VFR Diurna/Noturna,Asfalto,15565,30,170.0
SNWB,Privado,Bom Sossego,Porto Seguro,BA,-16.38111111111111,-39.08111111111111,10.261894573952395,VFR Diurna,Terra,650,18,130.0
SSHB,Privado,Boris,Luís Eduardo Magalhães,BA,-12.068333333333333,-45.828611111111115,3.085412674741708,VFR Diurna,Terra,800,20,150.0
SIQE,Privado,Botelho,Brasília,DF,-15.937222222222223,-47.727222222222224,3.1168349132642907,VFR Diurna/Noturna,Asfalto,1499,18,140.0
SDNB,Privado,Brasnorte,Brasnorte,MT,-12.099444444444446,-58.001666666666665,9.27548757495186,VFR Diurna,Cascalho,1200,20,80.0
SJIL,Privado,Brigadeiro Fábio Pereira da Silveira,Tupaciguara,MG,-18.610833333333336,-48.719722222222224,5.6110585943637,VFR Diurna,Cascalho,1075,18,70.0
SDCU,Privado,Brigadeiro Francisco Pinto de Moura,Casimiro de Abreu,RJ,-22.554166666666667,-42.115,11.6435014361851,VFR Diurna,Asfalto,1040,18,110.0
SILU,Privado,BRPEC Agro-Pecuária,Miranda,MS,-19.865833333333335,-56.988055555555555,10.70869293963127,VFR Diurna,Asfalto,1200,18,30.0
SJVB,Privado,Bugio,Pedrinhas Paulista,SP,-22.84861111111111,-50.73166666666667,10.042075329781804,VFR Diurna,Terra,700,18,70.0
SJZT,Privado,Busato II,Serra do Ramalho,BA,-13.23861111111111,-43.736111111111114,5.039540912426914,VFR Diurna,Terra,1700,30,90.0
SNNX,Privado,Cabanha Umbú,Barra do Quaraí,RS,-29.980555555555554,-57.27111111111111,18.989685545020627,VFR Diurna,Grama,961,25,140.0
SNDX,Privado,Cachoeira,Coruripe,AL,-10.040555555555555,-36.325833333333335,12.79123119357675,VFR Diurna,Piçarra,800,20,160.0
SJEA,Privado,Cadete 56 - 147 Santana,Palmeirópolis,TO,-12.85,-48.22527777777778,0.5649976100681496,VFR Diurna,Cascalho,1100,30,80.0
SWIS,Privado,Caiapó,Caseara,TO,-9.186388888888889,-49.77611111111111,3.944095495128301,VFR Diurna,Asfalto,1400,25,140.0
SIRJ,Privado,Caima,Itaituba,PA,-4.303888888888888,-56.219166666666666,11.45043372473584,VFR Diurna/Noturna,Asfalto,1426,30,120.0
SJYR,Privado,Cajú,Uiramutã,RR,4.7058333333333335,-60.515277777777776,21.247307690739035,VFR Diurna,Grama,600,20,120.0
SIZO,Privado,Calcário Vale do Araguaia,Cocalinho,MT,-14.190277777777778,-51.64388888888889,3.1106267108013133,VFR Diurna,Asfalto,1500,30,20.0
SIKK,Privado,Calciolândia,Arcos,MG,-20.250555555555554,-45.644999999999996,7.89532652042951,VFR Diurna,Terra,890,18,140.0
SJYS,Privado,Camará,Normandia,RR,3.9908333333333332,-60.181666666666665,20.46740221601711,VFR Diurna,Terra,600,20,80.0
SIJY,Privado,Campo Comandantes,Itajaí,SC,-26.983055555555556,-48.81638888888889,13.983132503082613,VFR Diurna,Asfalto,700,18,60.0
SNCY,Privado,Campo da Praia,Coruripe,AL,-10.222777777777777,-36.28527777777778,12.789888671824098,VFR Diurna,Piçarra,700,18,150.0
SJYT,Privado,Campo Formoso,Pacaraima,RR,4.72,-60.76972222222222,21.400741421981007,VFR Diurna,Terra,1000,30,180.0
SJYU,Privado,Campo Grande,Pacaraima,RR,4.685555555555556,-60.80277777777778,21.390806818772045,VFR Diurna,Terra,1000,30,80.0
SDYX,Privado,Campo Maior,Campo Maior,PI,-4.854166666666666,-42.260555555555555,10.427246408796195,VFR Diurna,Asfalto,1200,18,130.0
SINC,Privado,Campo Nuic,Bom Jardim da Serra,SC,-28.381666666666668,-49.56916666666667,15.402413343549627,VFR Diurna,Grama,340,18,60.0
SINP,Privado,Campo Primavera,Santa Mônica,PR,-23.12138888888889,-53.07833333333333,11.000193141542315,VFR Diurna,Grama,400,18,20.0
SSCE,Privado,Campos de Melo,São José de Mipibu,RN,-6.011388888888889,-35.291666666666664,15.18242914380931,VFR Diurna,Terra,800,18,120.0
SDLZ,Privado,Campo Verde,Campo Verde,MT,-15.531944444444445,-55.13777777777778,6.852688267892649,VFR Diurna,Cascalho,1320,25,150.0
SJKL,Privado,Canã,Normandia,RR,4.61888888888889,-60.07166666666667,20.93210250126482,VFR Diurna,Terra,650,25,20.0
